PhilosopherID;TotalMeals;AverageTime;WaitTime
0;24;94;7,27,26,45,24,24,86,139,60,36,80,202,119,13,57,39,135,191,188,158,128,70,246,177,
1;24;114;26,101,92,89,81,36,190,62,52,58,150,173,0,69,178,198,154,164,171,44,0,307,138,225,
2;24;97;75,0,18,143,29,168,61,26,55,146,165,7,62,1,90,180,152,196,206,54,31,221,53,209,
3;23;109;62,50,64,66,70,179,165,38,9,146,182,51,80,69,130,148,191,150,11,85,160,129,288,
4;24;106;45,73,59,69,0,5,140,224,46,56,73,209,131,56,20,181,255,224,176,120,58,0,173,171,
