PhilosopherID;TotalMeals;AverageTime;WaitTime
0;91;11;0,0,0,0,2,9,0,0,23,0,0,0,11,0,30,4,0,0,0,7,3,0,3,24,0,0,35,0,5,0,0,8,1,11,0,0,16,0,10,16,0,3,0,0,8,9,0,0,11,0,2,0,19,0,8,26,26,0,0,26,8,2,0,41,20,35,45,31,64,22,9,55,0,0,0,25,0,0,28,27,11,18,19,0,33,3,0,17,34,65,46,
1;89;12;25,42,33,24,3,15,3,0,13,49,0,18,12,7,0,0,50,0,43,0,31,2,1,46,27,0,18,23,0,0,0,23,43,0,0,49,0,0,1,4,0,22,0,0,48,0,17,21,0,0,3,47,24,44,0,4,0,0,0,0,21,21,3,13,0,0,0,0,0,0,27,2,0,23,9,6,0,0,0,6,58,0,3,48,21,30,0,0,0,
2;93;12;13,3,28,0,27,0,44,1,21,0,0,9,0,26,1,0,0,0,5,36,0,31,15,32,0,0,55,21,0,15,15,28,4,25,17,1,0,0,74,63,37,24,2,24,10,0,12,14,0,0,0,3,0,34,0,0,0,27,0,75,21,73,7,0,33,0,21,0,0,0,41,0,4,0,27,0,0,0,0,15,14,0,0,0,0,0,29,0,0,0,0,28,20,
3;83;13;6,1,0,0,22,0,19,0,0,19,13,15,34,0,22,23,5,13,0,0,32,0,34,23,0,0,0,22,13,24,49,7,20,0,0,0,9,0,2,2,0,1,0,0,1,8,0,25,64,25,0,21,6,26,0,66,0,0,9,49,2,47,10,78,51,0,12,0,2,20,10,0,0,13,17,0,31,8,33,0,0,2,43,
4;88;15;29,6,59,0,1,29,16,0,0,37,4,27,17,0,0,21,31,15,73,0,67,2,2,0,49,40,0,0,0,0,8,0,35,22,10,19,18,0,8,15,36,12,19,0,21,0,24,3,5,0,8,42,0,1,0,30,28,0,0,0,62,0,0,0,0,0,59,0,3,31,0,25,9,16,11,3,35,16,0,41,0,32,13,0,30,49,0,0,
