PhilosopherID;TotalMeals;AverageTime;WaitTime
0;34;42;151,61,0,92,0,26,110,0,0,0,128,7,82,112,3,28,0,21,66,13,0,26,5,0,0,2,0,66,0,76,59,21,96,194,
1;37;41;0,0,0,24,89,88,12,11,0,0,89,0,98,100,85,0,50,55,84,89,18,5,0,190,2,37,50,27,13,51,16,26,34,41,88,0,45,
2;34;47;78,53,0,69,0,21,0,102,130,0,132,4,51,99,12,0,0,34,133,0,75,8,43,5,83,66,111,0,63,48,0,84,42,77,
3;36;35;0,55,69,60,133,0,0,18,0,28,0,108,26,16,47,37,14,5,39,35,92,49,48,0,47,0,8,19,15,0,39,0,60,82,79,55,
4;31;54;0,4,20,187,30,19,39,75,12,80,37,42,99,123,80,11,81,68,70,25,67,150,21,79,0,83,69,50,0,7,68,
